year,odometer,grade_of_rust,accident_zone,severity_of_accident,is_flooded,component,ease_of_acces(0-2),time_in_minutes,success,vehicle_type
2008.0,254000,0.0,none,0.0,0.0,battery,0.0,9.2,1.0,combustion
2009.0,251000,1.0,front,2.0,0.0,battery,0.0,10.1,1.0,ev
2010.0,203000,2.0,rear,3.0,0.0,battery,0.0,10.5,1.0,ev
2011.0,200000,3.0,side,4.0,1.0,battery,0.0,12.0,1.0,combustion
2012.0,193000,4.0,none,0.0,0.0,battery,0.0,12.2,0.0,hybrid
2013.0,212000,5.0,front,1.0,0.0,battery,0.0,13.1,1.0,combustion
2014.0,186000,0.0,rear,2.0,0.0,battery,0.0,9.9,0.0,combustion
2015.0,147000,1.0,side,3.0,1.0,battery,0.0,10.6,1.0,combustion
2016.0,146000,2.0,none,0.0,0.0,battery,0.0,11.2,1.0,hybrid
2017.0,123000,3.0,front,5.0,1.0,battery,0.0,11.7,0.0,combustion
2018.0,89000,4.0,rear,1.0,0.0,battery,0.0,12.6,1.0,combustion
2019.0,78000,5.0,side,2.0,0.0,battery,0.0,12.1,0.0,combustion
2020.0,59000,0.0,none,0.0,0.0,battery,0.0,9.2,1.0,combustion
2021.0,59000,1.0,front,4.0,1.0,battery,0.0,9.9,1.0,combustion
2022.0,47000,2.0,rear,5.0,0.0,battery,0.0,9.2,1.0,combustion
2008.0,228000,3.0,side,1.0,0.0,battery,0.0,12.9,1.0,ev
2009.0,256000,4.0,none,0.0,0.0,battery,0.0,11.9,1.0,combustion
2010.0,226000,5.0,front,3.0,1.0,battery,0.0,13.0,0.0,combustion
2011.0,208000,0.0,rear,4.0,0.0,battery,0.0,9.7,1.0,hybrid
2012.0,190000,1.0,side,5.0,1.0,battery,0.0,10.1,0.0,combustion
2013.0,204000,2.0,none,0.0,0.0,battery,0.0,10.5,1.0,combustion
2014.0,162000,3.0,front,2.0,0.0,battery,0.0,12.1,1.0,combustion
2015.0,147000,4.0,rear,3.0,0.0,battery,0.0,12.7,0.0,combustion
2016.0,146000,5.0,side,4.0,1.0,battery,0.0,13.1,0.0,combustion
2017.0,120000,0.0,none,0.0,0.0,battery,0.0,10.7,1.0,hybrid
2018.0,117000,1.0,front,1.0,0.0,battery,0.0,11.0,1.0,combustion
2019.0,91000,2.0,rear,2.0,0.0,battery,0.0,10.9,1.0,combustion
2020.0,76000,3.0,side,3.0,1.0,battery,0.0,11.6,0.0,hybrid
2021.0,78000,4.0,none,0.0,0.0,battery,0.0,11.9,1.0,combustion
2022.0,44000,5.0,front,5.0,1.0,battery,0.0,14.0,0.0,ev
2008.0,241000,0.0,rear,1.0,0.0,battery,0.0,10.1,1.0,combustion
2009.0,221000,1.0,side,2.0,0.0,battery,0.0,9.1,1.0,combustion
2010.0,226000,2.0,none,0.0,0.0,battery,0.0,12.6,1.0,combustion
2011.0,196000,3.0,front,4.0,1.0,battery,0.0,10.8,1.0,hybrid
2012.0,206000,4.0,rear,5.0,0.0,battery,0.0,13.8,0.0,combustion
2013.0,184000,5.0,side,1.0,0.0,battery,0.0,13.0,1.0,combustion
2014.0,160000,0.0,none,0.0,0.0,battery,0.0,10.1,1.0,combustion
2015.0,140000,1.0,front,3.0,1.0,battery,0.0,10.8,0.0,combustion
2016.0,134000,2.0,rear,4.0,0.0,battery,0.0,11.1,0.0,hybrid
2017.0,129000,3.0,side,5.0,1.0,battery,0.0,12.2,0.0,combustion
2018.0,118000,4.0,none,0.0,0.0,battery,0.0,12.2,1.0,hybrid
2019.0,72000,5.0,front,2.0,0.0,battery,0.0,12.0,0.0,combustion
2020.0,104000,0.0,rear,3.0,0.0,battery,0.0,10.1,1.0,hybrid
2021.0,50000,1.0,side,4.0,1.0,battery,0.0,10.6,0.0,combustion
2022.0,27000,2.0,none,0.0,0.0,battery,0.0,11.0,0.0,hybrid
2008.0,278000,3.0,front,1.0,0.0,battery,0.0,12.6,0.0,hybrid
2009.0,258000,4.0,rear,2.0,0.0,battery,0.0,12.7,0.0,ev
2010.0,239000,5.0,side,3.0,1.0,battery,0.0,13.4,0.0,combustion
2011.0,200000,0.0,none,0.0,0.0,battery,0.0,10.1,1.0,combustion
2012.0,211000,1.0,front,5.0,1.0,battery,0.0,10.0,1.0,hybrid
2013.0,178000,2.0,rear,1.0,0.0,battery,0.0,10.8,1.0,ev
2014.0,144000,3.0,side,2.0,0.0,battery,0.0,11.9,1.0,combustion
2015.0,140000,4.0,none,0.0,0.0,battery,0.0,11.9,0.0,combustion
2016.0,116000,5.0,front,4.0,1.0,battery,0.0,13.4,0.0,combustion
2017.0,134000,0.0,rear,5.0,0.0,battery,0.0,10.4,1.0,combustion
2018.0,123000,1.0,side,1.0,0.0,battery,0.0,11.1,1.0,combustion
2019.0,74000,2.0,none,0.0,0.0,battery,0.0,12.2,1.0,combustion
2020.0,73000,3.0,front,3.0,1.0,battery,0.0,11.0,0.0,combustion
2021.0,66000,4.0,rear,4.0,0.0,battery,0.0,10.8,0.0,combustion
2022.0,28000,5.0,side,5.0,1.0,battery,0.0,12.8,0.0,combustion
2008.0,254000,0.0,none,0.0,0.0,battery,0.0,10.7,1.0,combustion
2009.0,251000,1.0,front,2.0,0.0,battery,0.0,10.1,1.0,ev
2010.0,203000,2.0,rear,3.0,0.0,battery,0.0,11.1,1.0,ev
2011.0,200000,3.0,side,4.0,1.0,battery,0.0,11.8,1.0,combustion
2012.0,193000,4.0,none,0.0,0.0,battery,0.0,12.3,0.0,hybrid
2013.0,212000,5.0,front,1.0,0.0,battery,0.0,13.4,1.0,combustion
2014.0,186000,0.0,rear,2.0,0.0,battery,0.0,10.1,1.0,combustion
2015.0,147000,1.0,side,3.0,1.0,battery,0.0,9.7,1.0,combustion
2016.0,146000,2.0,none,0.0,0.0,battery,0.0,12.4,1.0,hybrid
2017.0,123000,3.0,front,5.0,1.0,battery,0.0,12.3,0.0,combustion
2018.0,89000,4.0,rear,1.0,0.0,battery,0.0,12.5,0.0,combustion
2019.0,78000,5.0,side,2.0,0.0,battery,0.0,13.1,0.0,combustion
2020.0,59000,0.0,none,0.0,0.0,battery,0.0,9.1,1.0,combustion
2021.0,59000,1.0,front,4.0,1.0,battery,0.0,9.6,0.0,combustion
2022.0,47000,2.0,rear,5.0,0.0,battery,0.0,10.4,1.0,combustion
2008.0,228000,3.0,side,1.0,0.0,battery,0.0,12.3,1.0,ev
2009.0,256000,4.0,none,0.0,0.0,battery,0.0,13.6,0.0,combustion
2010.0,226000,5.0,front,3.0,1.0,battery,0.0,13.7,0.0,combustion
2011.0,208000,0.0,rear,4.0,0.0,battery,0.0,9.8,1.0,hybrid
2012.0,190000,1.0,side,5.0,1.0,battery,0.0,11.1,1.0,combustion
2013.0,204000,2.0,none,0.0,0.0,battery,0.0,12.2,1.0,combustion
2014.0,162000,3.0,front,2.0,0.0,battery,0.0,11.3,1.0,combustion
2015.0,147000,4.0,rear,3.0,0.0,battery,0.0,13.2,1.0,combustion
2016.0,146000,5.0,side,4.0,1.0,battery,0.0,13.5,0.0,combustion
2017.0,120000,0.0,none,0.0,0.0,battery,0.0,9.4,1.0,hybrid
2018.0,117000,1.0,front,1.0,0.0,battery,0.0,11.0,1.0,combustion
2019.0,91000,2.0,rear,2.0,0.0,battery,0.0,12.7,1.0,combustion
2020.0,76000,3.0,side,3.0,1.0,battery,0.0,11.4,1.0,hybrid
2021.0,78000,4.0,none,0.0,0.0,battery,0.0,12.9,0.0,combustion
2022.0,44000,5.0,front,5.0,1.0,battery,0.0,12.6,1.0,ev
2008.0,241000,0.0,rear,1.0,0.0,battery,0.0,10.7,1.0,combustion
2009.0,221000,1.0,side,2.0,0.0,battery,0.0,10.1,1.0,combustion
2010.0,226000,2.0,none,0.0,0.0,battery,0.0,10.9,1.0,combustion
2011.0,196000,3.0,front,4.0,1.0,battery,0.0,12.1,1.0,hybrid
2012.0,206000,4.0,rear,5.0,0.0,battery,0.0,13.3,0.0,combustion
2013.0,184000,5.0,side,1.0,0.0,battery,0.0,14.0,0.0,combustion
2014.0,160000,0.0,none,0.0,0.0,battery,0.0,9.8,1.0,combustion
2015.0,140000,1.0,front,3.0,1.0,battery,0.0,11.3,0.0,combustion
2016.0,134000,2.0,rear,4.0,0.0,battery,0.0,11.8,0.0,hybrid
2017.0,129000,3.0,side,5.0,1.0,battery,0.0,13.0,1.0,combustion
2018.0,118000,4.0,none,0.0,0.0,battery,0.0,12.2,0.0,hybrid
2019.0,72000,5.0,front,2.0,0.0,battery,0.0,12.6,0.0,combustion
2020.0,104000,0.0,rear,3.0,0.0,battery,0.0,10.7,1.0,hybrid
2021.0,50000,1.0,side,4.0,1.0,battery,0.0,9.6,1.0,combustion
2022.0,27000,2.0,none,0.0,0.0,battery,0.0,10.6,1.0,hybrid
2008.0,278000,3.0,front,1.0,0.0,battery,0.0,11.3,1.0,hybrid
